Civic Coalition,The Left
21.0,6.0
26.1,9.2
26.0,8.0
26.2,8.6
26.1,9.9
26.0,8.0
27.0,7.0
29.0,8.0
26.9,7.3
25.0,8.1
26.0,8.0
25.6,8.0
25.9,9.5
25.8,10.1
28.1,10.6
21.0,4.0
29.69,9.36
27.0,9.0
27.0,7.0
29.09,7.63
28.0,9.0
25.8,7.4
26.8,11.0
26.0,9.0
31.0,8.0
27.0,8.0
25.8,7.4
27.1,8.5
26.4,11.6
26.5,9.5
30.0,7.0
25.9,9.8
27.0,8.0
27.33,12.69
27.0,8.0
26.6,11.2
26.0,9.0
26.6,8.1
18.0,5.0
28.1,14.78
25.2,8.5
26.0,8.0
24.7,9.4
26.0,9.0
24.5,7.8
26.9,11.8
26.0,8.0
23.88,10.68
27.0,9.0
25.5,9.2
25.4,8.4
23.0,7.7
25.0,7.0
27.8,7.94
27.1,11.1
22.3,8.2
17.0,4.0
23.0,8.0
25.5,8.3
27.0,7.0
24.9,9.4
25.3,8.9
25.5,7.5
27.0,8.0
28.4,10.5
25.09,10.91
25.0,8.0
26.8,8.4
25.2,9.2
24.0,8.0
28.0,7.0
27.1,11.2
26.0,9.0
19.0,4.0
27.0,9.0
26.3,6.0
27.0,9.0
26.3,9.0
24.9,10.2
27.0,8.0
27.0,10.5
26.48,10.12
27.0,8.6
25.0,8.0
25.5,6.1
26.6,9.3
26.0,10.0
26.4,8.5
26.0,8.0
26.0,7.0
23.3,6.1
22.61,5.53
17.0,4.0
25.0,9.0
25.1,7.1
23.7,6.2
25.4,8.3
26.2,6.3
29.0,7.0
28.0,7.0
24.2,6.4
22.0,5.0
25.0,8.0
23.2,6.9
23.1,8.1
27.0,7.0
25.8,8.2
25.1,7.5
24.0,5.0
20.0,4.0
25.0,4.0
21.2,6.9
25.89,6.59
22.8,7.2
27.0,7.0
25.7,7.0
28.0,8.0
26.9,7.1
27.5,7.8
24.46,8.27
25.0,5.0
26.0,8.0
23.7,8.8
29.3,5.6
28.0,6.3
17.0,3.0
26.0,10.0
26.34,7.54
25.1,5.8
26.7,6.6
27.3,6.7
28.0,8.0
27.0,8.0
26.1,6.2
26.0,7.0
28.0,8.0
27.2,7.0
26.0,5.0
23.9,8.0
27.0,10.0
20.2,7.3
24.5,7.06
17.8,3.0
24.0,9.0
25.1,8.2
24.0,7.0
24.2,8.4
26.0,6.0
25.0,8.0
24.1,7.8
24.9,8.1
22.4,7.6
24.0,7.0
25.81,6.18
24.0,6.0
21.0,10.0
14.5,5.1
26.0,7.0
24.0,9.0
23.7,7.8
25.0,9.0
20.6,6.9
22.1,7.0
23.8,7.7
21.8,7.6
24.3,8.04
25.0,8.0
21.2,8.4
22.1,7.0
21.7,7.7
24.0,8.0
24.0,7.0
23.0,7.0
17.9,4.9
23.8,7.6
24.0,9.0
24.6,9.1
21.6,7.2
25.0,8.0
17.2,4.7
25.8,8.56
26.0,8.0
23.3,7.0
24.5,9.4
23.3,8.0
26.0,7.0
15.3,4.1
26.0,6.0
25.0,7.0
27.1,6.7
21.0,6.7
26.0,7.0
25.9,7.9
21.6,8.0
25.0,7.0
26.0,8.0
22.4,7.4
23.4,7.1
23.0,6.4
24.0,7.0
24.0,7.0
16.0,4.4
24.54,7.56
